CODIGO;UF;COD_MUNICIPIO;NOME_MUNICIPIO;COD_UNIDADE;NOME_UNIDADE;ENDERECO;REGIAO;latitude;longitude;leitos;qtd_infectados
290;280030;SE;Aracaju;2836;US LAURO DANTAS HORA BUGIO;RUA PROJETADA - S/N;BUGIO;-10.88984;-37.09745;7;4
313;280030;SE;Aracaju;2631;US MADRE TEREZA DE CALCUTA JABOTIANA;LARGO DA APARECIDA - S/N;JABOTIANA;-10.94028;-37.08738;7;6
281;280030;SE;Aracaju;2399;US MANOEL DE SOUZA PEREIRA SOL NASCENTE;RUA MARIA DO CARMO COSTA - S/N;JABOTIANA;-10.94028;-37.08738;27;0
262;280030;SE;Aracaju;2259;US MARIA DO CEU SANTOS PEREIRA;RUA MARUIM - 198;CENTRO;-10.91599;-37.05479;15;10
346;280030;SE;Aracaju;25690;US MAX DE CARVALHO ROCHA LUZIA;RUA FILEMON FREIRE - S/N;PONTO NOVO;-10.9322;-37.07357;6;2
142;280030;SE;Aracaju;2615;US MINISTRO COSTA CAVALVANTE INACIO BARBOSA;AV TRANCREDO NEVES - S/N;INACIO BARBOSA;-10.95431;-37.05882;23;24
267;280030;SE;Aracaju;3093;US NICEU DANTAS MOSQUEIRO;RUA DOS NAUFRAGOS - S/N;MOSQUEIRO;-11.04651;-37.10709;29;30
301;280030;SE;Aracaju;2844;US ONESIMO PINTO FILHO JARDIM CENTENARIO;AVENIDA RADIALISTA JOSE DA SILVA LIMA - S/N;JARDIM CENTENARIO;-10.89721;-37.09662;25;2
144;280030;SE;Aracaju;2216;US OSVALDO LEITE TERRA DURA;AV AZUL - S/N;SANTA MARIA;-10.99539;-37.10173;24;11
269;280030;SE;Aracaju;3492;US OSWALDO DE SOUZA;TV ADALTO BOTELHO - S/N;GETULIO VARGAS;-10.91123;-37.06207;15;15
348;280030;SE;Aracaju;25682;US SANTA TEREZINHA ROBALO;RODOVIA DOS NAUFRAGOS KM 05 - S/N;ROBALO;-11.03683;-37.10711;7;10
148;280030;SE;Aracaju;2623;US WALTER CARDOSO VENEZA;RUA B - 372;VENEZA;-10.90556;-37.09688;21;8
